user_id,skill_id,proficiency_level,proficiency
1,69,intermediate,
1,8,novice,
1,47,beginner,
1,70,beginner,
1,80,expert,
1,87,advanced,
2,37,novice,
2,163,novice,
3,136,intermediate,
3,56,intermediate,
3,97,intermediate,
3,108,expert,
3,117,expert,
3,88,novice,
3,41,novice,
4,41,novice,
4,159,intermediate,
4,13,advanced,
5,109,expert,
5,125,novice,
5,156,intermediate,
5,114,advanced,
5,107,novice,
5,70,intermediate,
5,56,expert,
6,135,expert,
6,79,novice,
6,12,novice,
6,57,beginner,
6,102,intermediate,
7,36,intermediate,
7,66,novice,
7,75,novice,
8,111,beginner,
8,45,expert,
8,34,expert,
8,98,intermediate,
8,137,novice,
9,11,intermediate,
9,112,expert,
9,5,advanced,
9,118,expert,
9,20,advanced,
10,164,beginner,
10,107,expert,
10,75,advanced,
10,30,intermediate,
10,104,novice,
10,6,advanced,
10,84,novice,
11,112,expert,
11,151,novice,
11,103,advanced,
12,80,novice,
12,87,expert,
12,57,expert,
12,86,beginner,
12,44,intermediate,
12,20,intermediate,
12,131,beginner,
12,163,beginner,
13,38,beginner,
13,66,beginner,
14,40,expert,
14,20,expert,
14,46,advanced,
14,161,expert,
14,127,expert,
14,119,intermediate,
15,161,intermediate,
15,81,intermediate,
15,39,expert,
15,113,novice,
15,18,intermediate,
15,121,expert,
15,114,novice,
15,162,intermediate,
16,116,novice,
16,10,novice,
16,15,expert,
16,95,expert,
16,74,expert,
17,119,expert,
17,149,beginner,
17,142,intermediate,
17,11,expert,
17,116,advanced,
18,39,expert,
18,16,beginner,
18,116,novice,
18,27,beginner,
18,88,advanced,
18,22,advanced,
19,134,advanced,
19,157,advanced,
19,41,intermediate,
19,94,expert,
19,96,novice,
19,73,intermediate,
20,85,expert,
20,25,advanced,
21,65,novice,
21,155,expert,
21,39,beginner,
21,86,intermediate,
22,101,intermediate,
22,34,expert,
22,153,advanced,
22,22,intermediate,
23,33,beginner,
23,135,beginner,
23,24,intermediate,
23,109,advanced,
23,131,beginner,
23,93,beginner,
23,5,beginner,
23,80,beginner,
24,76,expert,
24,26,expert,
25,135,beginner,
25,10,beginner,
25,87,expert,
25,159,beginner,
25,34,advanced,
25,153,novice,
25,97,advanced,
25,40,intermediate,
26,61,beginner,
26,114,intermediate,
26,157,advanced,
26,73,beginner,
26,115,intermediate,
26,60,expert,
26,137,advanced,
27,73,beginner,
27,98,beginner,
27,129,expert,
27,136,beginner,
27,108,intermediate,
28,165,intermediate,
28,124,expert,
29,133,intermediate,
29,32,novice,
30,42,advanced,
30,70,intermediate,
30,116,novice,
30,132,advanced,
30,38,novice,
30,112,advanced,
30,24,expert,
30,57,intermediate,
31,99,beginner,
31,21,novice,
31,96,intermediate,
32,86,beginner,
32,38,novice,
33,121,novice,
33,36,novice,
33,115,novice,
33,158,intermediate,
34,39,expert,
34,141,advanced,
34,156,novice,
35,74,expert,
35,61,advanced,
35,78,novice,
35,32,novice,
35,13,advanced,
35,62,expert,
35,108,expert,
35,164,novice,
36,132,expert,
36,148,intermediate,
36,62,beginner,
36,37,expert,
36,75,advanced,
36,110,beginner,
36,1,novice,
37,93,novice,
37,18,advanced,
37,135,advanced,
37,140,novice,
37,130,advanced,
37,142,intermediate,
38,5,beginner,
38,92,novice,
38,18,expert,
38,89,intermediate,
39,12,intermediate,
39,91,beginner,
39,140,advanced,
40,123,intermediate,
40,162,beginner,
40,47,novice,
40,35,beginner,
40,17,novice,
40,118,intermediate,
40,10,intermediate,
41,102,intermediate,
41,140,intermediate,
41,122,novice,
41,65,intermediate,
41,10,intermediate,
41,49,novice,
42,95,advanced,
42,112,intermediate,
42,103,expert,
42,113,intermediate,
42,99,novice,
42,87,advanced,
42,48,novice,
42,128,advanced,
43,47,intermediate,
43,140,intermediate,
43,76,intermediate,
43,83,advanced,
43,27,expert,
43,21,advanced,
44,114,novice,
44,90,intermediate,
44,115,expert,
45,71,intermediate,
45,164,expert,
45,15,beginner,
45,20,novice,
45,104,beginner,
46,156,advanced,
46,113,expert,
46,9,novice,
46,33,expert,
46,18,beginner,
46,61,advanced,
46,94,intermediate,
46,93,intermediate,
47,20,advanced,
47,147,intermediate,
47,36,intermediate,
47,136,beginner,
47,94,novice,
48,48,expert,
48,128,advanced,
49,31,intermediate,
49,68,advanced,
49,67,beginner,
49,115,novice,
49,55,beginner,
49,157,novice,
50,45,novice,
50,114,expert,
50,23,expert,
50,82,intermediate,
50,89,intermediate,
159d7d73-6177-48ee-ab4d-7af46a6d511f,cd0c03bf-05c4-4208-a13c-261e7386d05e,,1.0
159d7d73-6177-48ee-ab4d-7af46a6d511f,18,,1.0
159d7d73-6177-48ee-ab4d-7af46a6d511f,1,,1.0
159d7d73-6177-48ee-ab4d-7af46a6d511f,26,,1.0
159d7d73-6177-48ee-ab4d-7af46a6d511f,2e620ef7-5056-4ab1-9b68-744b13c41cdb,,1.0
159d7d73-6177-48ee-ab4d-7af46a6d511f,66,,1.0
159d7d73-6177-48ee-ab4d-7af46a6d511f,68,,1.0
159d7d73-6177-48ee-ab4d-7af46a6d511f,69,,1.0
159d7d73-6177-48ee-ab4d-7af46a6d511f,944ae317-76cb-401b-8972-aae31c16ebbe,,1.0
159d7d73-6177-48ee-ab4d-7af46a6d511f,4cd604c9-4699-429e-b197-27b762d52b2e,,1.0
4a0a2c6f-bcfb-4302-b9da-c69294251e3e,1,,1.0
4a0a2c6f-bcfb-4302-b9da-c69294251e3e,26,,1.0
6306d3cc-a3cb-4bf5-81bf-3295600e3cc5,1,,1.0
6306d3cc-a3cb-4bf5-81bf-3295600e3cc5,26,,1.0
6306d3cc-a3cb-4bf5-81bf-3295600e3cc5,66,,1.0
6306d3cc-a3cb-4bf5-81bf-3295600e3cc5,68,,1.0
6306d3cc-a3cb-4bf5-81bf-3295600e3cc5,34,,1.0
6306d3cc-a3cb-4bf5-81bf-3295600e3cc5,4cd604c9-4699-429e-b197-27b762d52b2e,,1.0
af3135e5-0580-459e-934c-b142f875f823,1,,1.0
af3135e5-0580-459e-934c-b142f875f823,26,,1.0
8a8213a3-b2f9-4a0d-a2ed-85bde1b3636d,66,,1.0
8a8213a3-b2f9-4a0d-a2ed-85bde1b3636d,68,,1.0
eea6a0c7-cf4d-4cce-9cf6-0ed04747dae6,1d9a55a6-5e86-4d15-a5f6-6d6c37479d05,,1.0
48f52555-332c-4462-b682-2b9afbeea8db,1,,1.0
48f52555-332c-4462-b682-2b9afbeea8db,26,,1.0
